City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,thompson,55.7435,-97.8558,48.36,49,40,0.0,CA,1718294536
110,gobabis,-22.45,18.9667,64.71,22,0,10.58,NA,1718294536
111,djambala,-2.5447,14.7533,85.84,38,5,3.96,CG,1718294537
112,vila franca do campo,37.7167,-25.4333,70.21,83,90,7.16,PT,1718294471
113,egilsstadir,65.2653,-14.3948,53.51,54,75,23.02,IS,1718294553
114,kushk,33.2957,61.9522,88.38,14,1,29.35,AF,1718294553
115,anadyr,64.75,177.4833,36.1,100,75,2.24,RU,1718294471
116,chom thong,18.4174,98.6743,82.65,94,99,4.63,TH,1718294553
117,isafjordur,66.0755,-23.124,60.84,48,0,8.05,IS,1718294553
118,mindelo,16.8901,-24.9804,81.95,57,20,27.63,CV,1718294553
119,dunedin,-45.8742,170.5036,44.8,97,100,1.01,NZ,1718294454
120,ushuaia,-54.8,-68.3,38.82,93,100,17.27,AR,1718294470
121,bac kan,22.1333,105.8333,81.88,86,100,1.03,VN,1718294554
122,ahmedabad,23.0333,72.6167,91.44,58,40,11.5,IN,1718294554
123,susuman,62.7833,148.1667,53.98,60,100,15.99,RU,1718294554
124,nicoya,10.1483,-85.452,85.24,74,100,5.35,CR,1718294554
125,chonchi,-42.6128,-73.8092,55.11,97,99,3.91,CL,1718294489
126,aasiaat,68.7098,-52.8699,33.49,82,97,5.19,GL,1718294308
127,sandnessjoen,66.0217,12.6316,68.52,63,20,12.66,NO,1718294554
128,isola di capo rizzuto,38.96,17.0933,78.19,53,98,15.99,IT,1718294524
129,san matias,-16.3667,-58.4,95.9,19,19,12.24,BO,1718294554
130,vesoul,47.5833,5.8333,70.61,57,48,2.26,FR,1718294555
131,invercargill,-46.4,168.35,43.02,98,100,10.0,NZ,1718294555
132,mogadishu,2.0371,45.3438,79.27,84,21,16.93,SO,1718294494
133,nar'yan-mar,67.6713,53.087,60.12,64,100,11.01,RU,1718294555
134,mejit,10.2753,170.8646,82.38,75,60,20.47,MH,1718294555
135,mata-utu,-13.2816,-176.1745,81.97,80,7,8.16,WF,1718294555
136,punta arenas,-53.15,-70.9167,39.31,81,0,37.98,CL,1718294401
137,cabo san lucas,22.8909,-109.9124,80.62,92,100,4.61,MX,1718293981
138,howrah,22.5892,88.3103,89.6,84,40,10.36,IN,1718294408
139,vallenar,-28.5708,-70.7581,64.83,45,100,7.94,CL,1718294409
140,haiku-pauwela,20.9219,-156.3051,71.26,77,15,8.99,US,1718294556
141,biysk,52.5364,85.2072,62.11,91,10,1.92,RU,1718294556
142,al ghayzah,16.2079,52.176,88.16,71,61,8.57,YE,1718294556
143,edinburgh of the seven seas,-37.0676,-12.3116,54.01,77,96,7.9,SH,1718294556
144,robit,12.0167,39.6333,80.94,30,7,7.94,ET,1718294556
145,cedar falls,42.5278,-92.4455,86.22,62,58,3.0,US,1718294473
146,itarantim,-15.6597,-40.0656,80.13,57,68,7.49,BR,1718294556
147,mount pearl,47.5166,-52.7813,63.84,79,20,31.07,CA,1718294556
148,balqash,46.8481,74.995,68.88,49,50,15.08,KZ,1718294426
149,bumba,2.1833,22.4667,82.58,62,75,3.11,CD,1718294557
150,udachny,66.4167,112.4,58.44,79,100,16.96,RU,1718294497
151,kollam,8.8833,76.6,81.41,84,100,9.82,IN,1718294557
152,bardai,11.65,7.2333,97.92,24,38,7.74,NG,1718294557
153,jaisalmer,26.9147,70.9181,99.36,26,2,15.84,IN,1718294557
154,al buraymi,24.2509,55.7931,105.22,14,20,17.27,OM,1718294557
155,havre,49.5833,0.3333,64.35,52,0,12.66,FR,1718294557
156,mendi,-6.1761,143.6513,56.08,99,89,1.9,PG,1718294558
157,peschanokopskoye,46.1961,41.0775,80.51,51,59,4.27,RU,1718294558
158,tura,25.5198,90.2201,77.58,93,96,8.1,IN,1718294558
159,shahrud,36.4182,54.9763,78.87,39,100,5.97,IR,1718294558
160,ancud,-41.8697,-73.8203,52.95,89,100,12.1,CL,1718294276
161,igarka,67.4667,86.5833,52.02,94,100,8.99,RU,1718294558
162,kondopoga,62.2057,34.2614,69.48,53,93,1.12,RU,1718294558
163,arar,30.9753,41.0381,104.02,7,0,20.71,SA,1718294558
164,khvoynaya,58.9,34.5333,67.78,45,100,7.43,RU,1718294559
165,hasaki,35.7333,140.8333,64.8,87,3,7.45,JP,1718294559
166,korla,41.7597,86.1469,77.07,41,44,19.3,CN,1718294559
167,midvagur,62.0511,-7.1939,50.83,71,75,18.41,FO,1718294559
168,okhotsk,59.3833,143.3,41.5,90,50,5.59,RU,1718294559
169,itaituba,-4.2761,-55.9836,89.76,66,20,3.44,BR,1718294493
170,geraldton,-28.7667,114.6,55.81,88,0,5.75,AU,1718294284
171,constitucion,-35.3333,-72.4167,57.76,88,100,21.07,CL,1718294559
172,talnakh,69.4865,88.3972,50.2,78,82,8.7,RU,1718294379
173,las terrenas,19.311,-69.5428,89.22,79,20,6.91,DO,1718294559
174,iskateley,67.6803,53.1512,60.03,64,100,11.01,RU,1718294560
175,utrik,11.2278,169.8474,82.45,74,97,18.9,MH,1718294560
176,zhaotong,27.3167,103.7167,62.17,84,100,4.54,CN,1718294560
177,tanjungagung,-3.9333,103.8,75.16,95,100,2.86,ID,1718294560
178,atafu village,-8.5421,-172.5159,83.8,76,76,10.02,TK,1718294560
179,dudinka,69.4058,86.1778,50.68,86,100,10.0,RU,1718294560
180,nalut,30.3333,10.85,110.21,6,8,13.29,LY,1718294560
181,samamiya,11.3487,9.6399,102.04,21,65,9.73,NG,1718294561
182,pizarro,4.9533,-77.366,81.81,83,62,7.05,CO,1718294561
183,yarkovo,57.4028,67.0786,72.21,80,25,4.03,RU,1718294561
184,zintan,31.9223,12.252,82.22,43,86,17.72,LY,1718294561
185,champerico,14.3,-91.9167,81.14,86,100,5.55,GT,1718294561
186,tsiombe,-25.3,45.4833,68.86,90,12,8.12,MG,1718294561
187,nevel'sk,46.6733,141.8633,46.45,92,23,0.81,RU,1718294561
188,andong,36.5656,128.725,66.06,75,0,2.39,KR,1718294561
189,bokkos,9.3,9.0,81.18,50,71,8.39,NG,1718294561
190,byron bay,-28.65,153.6167,48.7,82,26,9.22,AU,1718294561
191,teguise,29.0605,-13.564,71.82,53,40,19.57,ES,1718294562
192,la mira,18.035,-102.3266,86.83,53,99,5.23,MX,1718294562
193,kolonia town,6.964,158.206,83.16,75,84,6.96,FM,1718294562
194,zhanaozen,43.3,52.8,88.27,31,8,16.8,KZ,1718294562
195,katima mulilo,-17.5,24.2667,67.44,23,1,4.88,NA,1718294562
196,horta,38.5333,-28.6333,74.84,78,75,10.36,PT,1718294562
197,cadale,2.7603,46.3222,79.61,81,54,18.48,SO,1718294562
198,gabrovo,42.8747,25.3342,73.62,90,99,4.5,BG,1718294562
199,ola,59.5833,151.2833,53.15,87,13,1.05,RU,1718294562
200,touros,-5.1989,-35.4608,85.15,62,80,14.18,BR,1718294470
